  Z  CORE VAL  ION
  7.   2   1  0.000000
  
  
  
 THE FOLLOWING DATA IS THE MODIFIED HFS POTENTIAL, RV(R), GIVEN AT THE
 441 POINTS OF THE MESH, IN RYDBERG AUs, IDEALLY = -2Z U
  
  3.6944103E-04 3.0439338E-04 2.5078401E-04 2.0660457E-04 1.7019871E-04 Z  7  44
  1.4020049E-04 1.1548364E-04 9.5119525E-05 7.8342549E-05 6.4521570E-05 Z  7  45
  5.3136355E-05 4.3758075E-05 3.6033318E-05 2.9670817E-05 2.4430528E-05 Z  7  46
  2.0114663E-05 1.6560236E-05 1.3632949E-05 1.1222151E-05 9.2366754E-06 Z  7  47
  7.6014035E-06 6.2544404E-06 5.1447819E-06 4.2303932E-06 3.4766247E-06 Z  7  48
  2.8548995E-06                                                         Z  7  49



 THE FOLLOWING DATA IS THE NORMALIZED RADIAL WAVE FUNCTION FOR ORBITAL 200 , OUT TO MESH POINT 321

 200    321          0       -1.4590189E+00 2.0000000E+00 8.0702772E+00

  0.0000000E+00 9.2623271E-03 1.8374933E-02 2.7339343E-02 3.6157072E-02 Z  7   1
  4.4829611E-02 5.3358469E-02 6.1745107E-02 6.9990993E-02 7.8097582E-02 Z  7   2
  8.6066328E-02 9.3898632E-02 1.0159595E-01 1.0915966E-01 1.1659116E-01 Z  7   3
  1.2389185E-01 1.3106306E-01 1.3810618E-01 1.4502256E-01 1.5181354E-01 Z  7   4
  1.5848041E-01 1.6502449E-01 1.7144711E-01 1.7774953E-01 1.8393303E-01 Z  7   5
  1.8999889E-01 1.9594835E-01 2.0178266E-01 2.0750305E-01 2.1311072E-01 Z  7   6
  2.1860690E-01 2.2399276E-01 2.2926956E-01 2.3443840E-01 2.3950045E-01 Z  7   7
  2.4445687E-01 2.4930884E-01 2.5405747E-01 2.5870386E-01 2.6324910E-01 Z  7   8
  2.6769438E-01 2.7628914E-01 2.8449684E-01 2.9232579E-01 2.9978439E-01 Z  7   9
  3.0688062E-01 3.1362253E-01 3.2001787E-01 3.2607430E-01 3.3179924E-01 Z  7  10
  3.3720022E-01 3.4228426E-01 3.4705856E-01 3.5152999E-01 3.5570532E-01 Z  7  11
  3.5959128E-01 3.6319438E-01 3.6652100E-01 3.6957741E-01 3.7236974E-01 Z  7  12
  3.7490407E-01 3.7718633E-01 3.7922215E-01 3.8101748E-01 3.8257763E-01 Z  7  13
  3.8390824E-01 3.8501447E-01 3.8590178E-01 3.8657513E-01 3.8703969E-01 Z  7  14
  3.8730031E-01 3.8736182E-01 3.8722906E-01 3.8690659E-01 3.8639897E-01 Z  7  15
  3.8571072E-01 3.8484621E-01 3.8380966E-01 3.8260540E-01 3.8123748E-01 Z  7  16
  3.7970999E-01 3.7619191E-01 3.7208211E-01 3.6741006E-01 3.6220425E-01 Z  7  17
  3.5649201E-01 3.5029957E-01 3.4365228E-01 3.3657438E-01 3.2908922E-01 Z  7  18
  3.2121921E-01 3.1298590E-01 3.0441004E-01 2.9551160E-01 2.8630969E-01 Z  7  19
  2.7682278E-01 2.6706854E-01 2.5706401E-01 2.4682549E-01 2.3636873E-01 Z  7  20
  2.2570887E-01 2.1486038E-01 2.0383723E-01 1.9265282E-01 1.8132003E-01 Z  7  21
  1.6985118E-01 1.5825820E-01 1.4655249E-01 1.3474500E-01 1.2284620E-01 Z  7  22
  1.1086622E-01 9.8814741E-02 8.6701050E-02 7.4534036E-02 6.2322278E-02 Z  7  23
  5.0073940E-02 3.7796892E-02 2.5498640E-02 1.3186405E-02 8.6708402E-04 Z  7  24
 -1.1452715E-02-3.6068730E-02-6.0614284E-02-8.5046105E-02-1.0932473E-01 Z  7  25
 -1.3341424E-01-1.5728194E-01-1.8089825E-01-2.0423646E-01-2.2727236E-01 Z  7  26
 -2.4998434E-01-2.7235296E-01-2.9436094E-01-3.1599283E-01-3.3723515E-01 Z  7  27
 -3.5807601E-01-3.7850508E-01-3.9851344E-01-4.1809356E-01-4.3723908E-01 Z  7  28
 -4.5594478E-01-4.7420654E-01-4.9202111E-01-5.0938630E-01-5.2630061E-01 Z  7  29
 -5.4276335E-01-5.5877465E-01-5.7433510E-01-5.8944601E-01-6.0410923E-01 Z  7  30
 -6.1832714E-01-6.3210255E-01-6.4543873E-01-6.5833938E-01-6.7080849E-01 Z  7  31
 -6.8285036E-01-6.9446987E-01-7.0567161E-01-7.1646118E-01-7.2684371E-01 Z  7  32
 -7.3682481E-01-7.5560629E-01-7.7285373E-01-7.8861701E-01-8.0294776E-01 Z  7  33
 -8.1589848E-01-8.2752204E-01-8.3787185E-01-8.4700102E-01-8.5496259E-01 Z  7  34
 -8.6180872E-01-8.6759126E-01-8.7236077E-01-8.7616688E-01-8.7905818E-01 Z  7  35
 -8.8108212E-01-8.8228464E-01-8.8271028E-01-8.8240248E-01-8.8140315E-01 Z  7  36
 -8.7975252E-01-8.7748957E-01-8.7465209E-01-8.7127584E-01-8.6739564E-01 Z  7  37
 -8.6304480E-01-8.5825485E-01-8.5305673E-01-8.4747946E-01-8.4155083E-01 Z  7  38
 -8.3529770E-01-8.2874531E-01-8.2191789E-01-8.1483865E-01-8.0752939E-01 Z  7  39
 -8.0001110E-01-7.9230368E-01-7.8442591E-01-7.7639580E-01-7.6823026E-01 Z  7  40
 -7.5994539E-01-7.4307793E-01-7.2590584E-01-7.0852959E-01-6.9103849E-01 Z  7  41
 -6.7351240E-01-6.5602154E-01-6.3862818E-01-6.2138683E-01-6.0434550E-01 Z  7  42
 -5.8754587E-01-5.7102275E-01-5.5479133E-01-5.3886002E-01-5.2323520E-01 Z  7  43
 -5.0792235E-01-4.9292558E-01-4.7824797E-01-4.6389160E-01-4.4985771E-01 Z  7  44
 -4.3614668E-01-4.2275825E-01-4.0969139E-01-3.9694449E-01-3.8451558E-01 Z  7  45
 -3.7240189E-01-3.6060044E-01-3.4910789E-01-3.3792031E-01-3.2703379E-01 Z  7  46
 -3.1644392E-01-3.0614606E-01-2.9613551E-01-2.8640735E-01-2.7695641E-01 Z  7  47
 -2.6777756E-01-2.5886542E-01-2.5021455E-01-2.4181956E-01-2.3367494E-01 Z  7  48
 -2.2577514E-01-2.1068779E-01-1.9651321E-01-1.8320750E-01-1.7072734E-01 Z  7  49
